"","Habt.G","Habt.J","Habt.P","Shal.GJ","Shal.JP","Shal.GP","Deep.GJ","Deep.JP","Deep.GP","West.GW","West.JW","West.PW"
"561",-0.0241820768136557,0.365079365079365,NA,0.0190735694822888,NA,-0.0112359550561798,0.296187683284457,0.315589353612167,NA,0.0227317651709824,0.106295428950211,0.0338415767943473
"562",0.358847234983216,-0.120879120879121,-0.0578626287750197,0.142857142857143,-0.0981038746908491,0.06886880648177,-0.0682250550671898,-0.0940382581597152,-0.0117320660255264,-0.0246320626366142,0.110816383624665,0.182688315377723
"563",0.424640135478408,-0.120879120879121,-0.0578626287750197,0.142857142857143,-0.0981038746908491,0.06886880648177,-0.0387432850398828,-0.0940382581597152,0.0260845118627079,-0.0626260995884109,0.110816383624665,0.182688315377723
"564",-0.032798075846217,0.178960796948745,0.0804699220371532,0.0112819758173301,-0.0243910140031258,-0.0403584300576549,-0.00139223496083577,-0.0431419392997553,0.0129961991443814,-0.032798075846217,0.0245898444923762,0.0409836065573771
"565",-0.032798075846217,0.178960796948745,0.0804699220371532,0.0112819758173301,-0.0243910140031258,-0.0403584300576549,-0.00139223496083577,-0.0431419392997553,0.0129961991443814,-0.032798075846217,0.0245898444923762,0.0409836065573771
"566",-0.032798075846217,0.178960796948745,0.0804699220371532,0.0112819758173301,-0.0243910140031258,-0.0403584300576549,-0.00139223496083577,-0.0431419392997553,0.0129961991443814,-0.032798075846217,0.0245898444923762,0.0409836065573771
"567",0.296693860025762,0.0527934392619169,0.15807903951976,0.0473372781065088,-0.0822029743422128,-0.00836225938781948,NA,NA,NA,NA,NA,NA
"568",0.342465753424658,0.0773504144112624,0.0831002796644027,0.0372285807981163,0.021621801705757,NA,-0.0284714276098809,0.00332718580233633,0.0496088989216925,0.238120867103921,0.1504707466758,0.0344091367507517
"569",-0.0699469268784618,0.018557263604887,-0.0622490795589365,0.00157315154693234,-0.0690692444797966,-0.0564354883647566,-0.0701361921021167,-0.0337792713708674,-0.0243894292224562,0.0532212885154061,0.0379175999618739,-0.0211895286904807
"570",-0.0699469268784618,0.018557263604887,-0.0622490795589365,0.00157315154693234,-0.0690692444797966,-0.0564354883647566,-0.0701361921021167,-0.0337792713708674,-0.0243894292224562,0.0532212885154061,0.0379175999618739,-0.0211895286904807
